Customer Remarks,category,cleaned_remarks,category_encoded
Very good,Returns,very good,10
Shopzilla app and it's all coustomer care services is very good service provided all time,Returns,shopzilla app and its all coustomer care services is very good service provided all time,10
Very bad,Order Related,very bad,5
Something ,Order Related,something,5
All good,Order Related,all good,5
Good ,Returns,good,10
Godd job,Payments related,godd job,7
Issue not resolved pathetic service,Order Related,issue not resolved pathetic service,5
Excellent ,Returns,excellent,10
Very good ,Cancellation,very good,1
Give proper guidance to the customer ,Returns,give proper guidance to the customer,10
Please highlight if the products cannot be returned.,Order Related,please highlight if the products cannot be returned,5
3000 rupees loss ,Returns,3000 rupees loss,10
Please don't sale any destroy product or cheep product more price. ,Order Related,please dont sale any destroy product or cheep product more price,5
I am very disappointed with Shopzilla.The issue was not resolved.The customer care executive was polite enough though he was not able to resolve the issue.But I am appalled at the utter lack of responsibility and accountability of Shopzilla in providing tracking services.,Order Related,i am very disappointed with shopzillathe issue was not resolvedthe customer care executive was polite enough though he was not able to resolve the issuebut i am appalled at the utter lack of responsibility and accountability of shopzilla in providing tracking services,5
No comments ,Order Related,no comments,5
  good ????,Returns,good,10
customer service number plz available,Returns,customer service number plz available,10
Good,Returns,good,10
Respectful ,Order Related,respectful,5
Very nice good,Product Queries,very nice good,8
Even the guarantee period also you have to contact the supplier to reduce the duration of resolve the issue ,Returns,even the guarantee period also you have to contact the supplier to reduce the duration of resolve the issue,10
Thanks ,Returns,thanks,10
Try to deliver the product on time ,Order Related,try to deliver the product on time,5
Nice conversation good I will give rating for ?????,Returns,nice conversation good i will give rating for,10
Keep it up Shopzilla ,Returns,keep it up shopzilla,10
I am so happy ,Returns,i am so happy,10
Very bad agent,Refund Related,very bad agent,9
Ok,Order Related,ok,5
Should take action fast..thank u,Returns,should take action fastthank u,10
Good talk,Returns,good talk,10
The way she talked with me is quite appropriate and nice as well. Shopzilla should hire these kind of executive for their customer support service.   bless you dear.,Feedback,the way she talked with me is quite appropriate and nice as well shopzilla should hire these kind of executive for their customer support service bless you dear,2
"Please pack the products which actually customers ordered, otherwise it is time to both you and us Shopzilla.",Returns,please pack the products which actually customers ordered otherwise it is time to both you and us shopzilla,10
Thanks ,Shopzilla Related,thanks,11
????,Refund Related,,9
Mr   was very helpful ,Cancellation,mr was very helpful,1
"Thank you so much sir for solving my issue . Bhai, please highlight my concern. Bhai sorry for the late feedback. Bhai please call me.",Returns,thank you so much sir for solving my issue bhai please highlight my concern bhai sorry for the late feedback bhai please call me,10
Good ,Returns,good,10
Thankyou ,Returns,thankyou,10
I selected for English language preference but it's goes into Hindi channel. But customer service executive doesn't understand English properly,Order Related,i selected for english language preference but its goes into hindi channel but customer service executive doesnt understand english properly,5
Nice ,Returns,nice,10
"Please don't give the chance of local shop/ company,,, they're using the name of Shopzilla & giving worst products... Sell your products like Myntra ( Myntra always send their products)",Returns,please dont give the chance of local shop company theyre using the name of shopzilla giving worst products sell your products like myntra myntra always send their products,10
Thank you   for your valuable time & support ,Returns,thank you for your valuable time support,10
Good night,Order Related,good night,5
No,Returns,no,10
Thank you so much ,Returns,thank you so much,10
?? no,Returns,no,10
Please provide customer support in regional language like Bengali ,Returns,please provide customer support in regional language like bengali,10
Delete in Shopzilla account ,Returns,delete in shopzilla account,10
Next time better ,Returns,next time better,10
Very poor service and support ,Order Related,very poor service and support,5
Thanks for understanding my problem and helping me out ,Returns,thanks for understanding my problem and helping me out,10
Nk,Returns,nk,10
Noise watch not restart,Order Related,noise watch not restart,5
No any response my orderVery bad costumer service,Order Related,no any response my ordervery bad costumer service,5
Small product is take so much time and my order is ariving 2 aug but suddanly is change to 5 aug,Order Related,small product is take so much time and my order is ariving 2 aug but suddanly is change to 5 aug,5
Reten,Returns,reten,10
Nice ,Returns,nice,10
Good ,Returns,good,10
Call disconnect and not provide information proper,Returns,call disconnect and not provide information proper,10
My issue is not resolved from yesterday.this is not a good thing.if customer issue is not solved quickly then why we don't do shopping from other shopping app where our issue is solved quickly ,Returns,my issue is not resolved from yesterdaythis is not a good thingif customer issue is not solved quickly then why we dont do shopping from other shopping app where our issue is solved quickly,10
Everything is good ??,Returns,everything is good,10
Wrong Product received.,Returns,wrong product received,10
Good communication skills ,Feedback,good communication skills,2
Thanks ??,Order Related,thanks,5
Worst Shopzilla customer service. Shopzilla shouldn't cancel order without ack from customer and also there's no compensation for customer satisfiaction. it makes us to move out from Shopzilla.,Order Related,worst shopzilla customer service shopzilla shouldnt cancel order without ack from customer and also theres no compensation for customer satisfiaction it makes us to move out from shopzilla,5
I am waiting second item today because today evening my flight please solve that today thanks ,Order Related,i am waiting second item today because today evening my flight please solve that today thanks,5
Nothing to say thanks for solving my issue,Cancellation,nothing to say thanks for solving my issue,1
"Shopzilla customer service executive   was very helpful,I appreciate her to good future ahead in your company.",Order Related,shopzilla customer service executive was very helpfuli appreciate her to good future ahead in your company,5
No,Refund Related,no,9
